Date,Open,High,Low,Close,Adj Close,Volume
2023-04-13,189.759995,190.410004,188.990005,189.720001,189.720001,14060100
2023-04-14,188.080002,188.490005,185.169998,186.360001,186.360001,13272500
2023-04-17,185.889999,185.929993,184.100006,185.529999,185.529999,7468100
2023-04-18,185.240005,186.990005,185.039993,186.250000,186.250000,8056900
2023-04-19,184.350006,185.580002,184.279999,185.360001,185.360001,7373500
2023-04-20,186.139999,187.029999,185.779999,186.089996,186.089996,5789900
2023-04-21,184.979996,185.679993,183.220001,184.250000,184.250000,10698700
2023-04-24,184.070007,185.029999,183.460007,184.809998,184.809998,8303400
2023-04-25,184.839996,186.220001,184.300003,185.750000,185.750000,8451900
2023-04-26,186.630005,186.649994,184.300003,184.740005,184.740005,8203600
2023-04-27,183.899994,184.990005,183.380005,184.750000,184.750000,9107400
2023-04-28,184.789993,185.380005,184.169998,184.800003,184.800003,6700400
2023-05-01,186.050003,186.220001,183.910004,183.970001,183.970001,7997700
2023-05-02,184.649994,187.639999,184.520004,187.520004,187.520004,14680600
2023-05-03,187.610001,189.210007,186.929993,189.110001,189.110001,11133800
2023-05-04,188.860001,191.360001,188.809998,190.440002,190.440002,14146800
2023-05-05,186.559998,187.580002,185.770004,187.460007,187.460007,12507000
2023-05-08,187.820007,188.669998,187.490005,187.690002,187.690002,6075400
2023-05-09,188.119995,189.330002,188.070007,189.020004,189.020004,7098800
2023-05-10,188.979996,189.639999,187.820007,188.750000,188.750000,9392100
2023-05-11,188.440002,188.809998,186.860001,187.130005,187.130005,8245500
2023-05-12,187.429993,187.919998,186.580002,186.809998,186.809998,7084400
2023-05-15,187.300003,187.880005,187.029999,187.210007,187.210007,5518100
2023-05-16,186.580002,186.820007,184.460007,184.869995,184.869995,9519500
2023-05-17,184.309998,184.449997,183.479996,184.229996,184.229996,7474300
2023-05-18,182.100006,182.279999,181.339996,181.839996,181.839996,8812600
2023-05-19,182.250000,184.339996,181.809998,183.639999,183.639999,8432300
2023-05-22,183.220001,183.839996,182.910004,183.210007,183.210007,4834300
2023-05-23,182.779999,183.759995,182.479996,183.429993,183.429993,6345000
2023-05-24,183.539993,183.539993,181.770004,181.949997,181.949997,6732900
2023-05-25,181.179993,181.309998,180.100006,180.199997,180.199997,6919200
2023-05-26,181.009995,181.300003,180.089996,180.919998,180.919998,5823700
2023-05-30,181.720001,182.399994,181.169998,182.039993,182.039993,4906100
2023-05-31,182.389999,183.449997,182.100006,182.320007,182.320007,8497900
